NAME,DINING TIME,RATING,REVIEW
Devonne,"Dined on September 22, 2024",5,"The quality of the food is consistently impressive, and its freshness is noteworthy. 👍 The strawberry watermelon Frose is my personal favorite beverage on the menu. 🍹 Every staff member I encountered, from the gentlemen at the entrance to the young ladies at the reception desk and the waitstaff, demonstrated exceptional courtesy and professionalism. 😀 We will definitely be back in a few weeks to celebrate my husband's  birthday there. 🎉"
Michelle,"Dined on September 22, 2024",5,"Always a good vibe, great food & service. Would  definitely recommend…"
Chris,"Dined on September 21, 2024",5,Great service. Amazing food. Outstanding drinks. Great options of food.
C,"Dined on September 15, 2024",4,Great date night or dinner with friends 🧡 and family
OpenTable Diner,"Dined on September 15, 2024",5,It was awesome! As usual! Everything was great! From the staff to the ambience to the food!
Debbie,"Dined on September 13, 2024",5,"Wonderful service, food and drinks were delicious. Will return again... as soon as I can."
Karen,"Dined on September 12, 2024",5,Beautiful restaurant. Amazing service and equally amazing food. 10/10!
Christina,"Dined on September 8, 2024",3,"This is our 2nd time at Brooklyn Chop House and not sure what happen, but food was ok.  We had the lamb chops and fried snapper both were very tasty.  For appetizers we had the shrimp tempura and the vegetable spring rolls. Vegetable spring rolls had zero flavor, shrimp tempura it was very oily and no flavor. For sides we had the shrimp fried rice, zero flavor, unbearable, and the garlic mashed potatoes, which were ok.  We both had margaritas which were yummy.  Staff was very pleasant.  Can’t say we would go back"
Brian,"Dined on September 6, 2024",5,Everything was absolutely amazing and our server Mike was top tier 10/10 recommend
Kelsey,"Dined on September 1, 2024",5,"Nyla was our server she was FANTASTIC! You all have a real gem in her! Her support team was equally excellent, and very kind and quick. The food was delicious and came out exactly as expected! 10/10 would recommend you visit Brooklyn Chop House."
David,"Dined on August 26, 2024",5,"Always a GREAT experience!!! Excellent food, outstanding customer service, and fantastic ambiance."
Justice,"Dined on August 18, 2024",3,"In my opinion, this place is way overrated for what you receive and for the quality and taste of food you received. I ordered the dry aged tomahawk steak. The meat was chewy, fatty  and unseasoned. Seemed like they just threw salt and pepper on the steak, which I can do at home and put it on my grill and get the same taste without the $159 bill. The mashed potatoes were good and so were the onion rings. We were told by the waiter that we had to order all courses up front which I found ridiculous. They don't give you bread or anything to nibble on while you're waiting for your food. To seat four people they actually take two small tables and put them together leaving a space in the middle in which my drink fell over once the waiter put it on the table. The drink was replaced but you would think for these prices they would have two people and four people tables. Anyway, needless to say I will not be going back to this establishment. I am a foodie and taste is everything to me and for the $410.00 that I spend for 2 people, which I don't mind but this place was no thrill at all."
AIDAIS,"Dined on August 18, 2024",5,"My personal experience with this location is that the ambience was great, food was perfect, and the drinks were spot on. Great atmosphere!"
Marilyn,"Dined on August 17, 2024",5,Honestly everyone was extremely nice and the food amazing!!! Every selection I chose was a 10.
kristinat,"Dined on August 17, 2024",5,"They were so accommodating, the Peking-duck was on point! Loved our whole experience"
Nadine,"Dined on August 17, 2024",2,"This was my first time eating at Brooklyn Chop restaurant. The ambviance was nice and the food was decent. Our steak was not cooked well. The service was not good. There was no server in sight nor anyone to request our needs. Overall, this restuarant need to hire more staff and a chef that can actually cook meat. You can spend your amount at other restauarnts with better reputation."
BrianN,"Dined on August 16, 2024",5,Did not realize until getting the menu that it was a steakhouse with Chinese influence. Interesting and delicious. Our server Yahaira was super hospitable and attentive. I did a Restaurant Week menu but I'm coming back to try the standard menu.
Stephanie,"Dined on August 4, 2024",3,"Based on the prices and photos, I was expecting a more elevated experience. The food came out quickly, though the waiter wasn’t very attentive. The vibe was a bit more relaxed than I expected, with rap music playing and some Caribbean music as well. Most visitors were dressed in sandals or sneakers, so it was a bit more casual than I expected. Food was pretty tasty!"
Tamia,"Dined on August 3, 2024",5,"I love this location! Everything was amazing, food was outstanding and our waitress was very friendly and nice. Gave us some good tips on the menu and showed us what were some favs. Will definitely be returning soon :)"
Kat,"Dined on August 3, 2024",3,Went for my friend’s birthday dinner on a Friday night. The place was cute. Service was good. Food was good.
Justine,"Dined on August 1, 2024",5,The food was amazing. We had the 4 course restaurant week meal and we enjoyed everything that we ordered. The food came fast and our server was so helpful and kind.
Christian,"Dined on July 28, 2024",5,Everything about the experience was 10/10. The food was great and so were the servers.
MLoA,"Dined on July 28, 2024",5,The staff was very attentive. Early Saturday evening was calmer than expected. We had a lovely meal and they paid attention to our reservation details to know we were celebrating our anniversary. The dessert at the end was the perfect way to wrap up our meal!
OpenTable Diner,"Dined on July 27, 2024",5,Everything was 10/10 chicken satay is my favorite and they prepare it better than most places I’ve had it!
OpenTable Diner,"Dined on July 21, 2024",5,"Great venue, food delicious, staff were awesome!!!"
OpenTable Diner,"Dined on July 18, 2024",5,"The best of the best! Food was great, perfect ambiance, along  with great service. This location blew my partners mind. His Birthday Dinner turned out super special."
